State,Children 0-18,Adults 19-54,Adults 55-64,65+,Total
Alabama,1128300,2166500,646800,811000,4752600
Alaska,191100,338400,94100,85500,709100
Arizona,1706300,3189900,862200,1245900,7004300
Arkansas,728600,1323400,380200,489100,2921300
California,9324800,19106700,4737800,5576600,38745900
Colorado,1321800,2737900,700700,794800,5555200
Connecticut,767700,1597300,510400,590900,3466300
Delaware,205800,419500,134400,177900,937700
District of Columbia,130200,385200,69900,82600,667900
Florida,4397300,9322700,2829800,4293700,20843500
Georgia,2610600,4907600,1268300,1426400,10212800
Hawaii,312100,606100,178500,258100,1354800
Idaho,462600,768300,212900,275900,1719600
Illinois,2965600,5897300,1649800,1925700,12438400
Indiana,1609500,2996600,865400,1015400,6487100
Iowa,754700,1372400,411700,517900,3056800
Kansas,727700,1273800,371700,441600,2814700
Kentucky,1024400,1993900,591000,711100,4320300
Louisiana,1142700,2084400,592700,699600,4519300
Maine,250700,566600,214300,267900,1299500
Maryland,1378800,2777200,808400,906300,5870800
Massachusetts,1412700,3208100,936100,1103100,6659900
Michigan,2228200,4472900,1392900,1676000,9770000
Minnesota,1336600,2542500,752600,857200,5489000
Mississippi,735000,1306100,377300,461000,2879400
Missouri,1405600,2705100,823200,1000600,5934500
Montana,232800,451100,152000,198000,1034000
Nebraska,488400,846600,242200,291700,1868900
Nevada,707300,1428500,373600,473900,2983400
New Hampshire,266500,594400,212100,237200,1310300
New Jersey,2025600,4094100,1205500,1403100,8728300
New Mexico,499900,910100,271000,364300,2045300
New York,4182800,9146400,2573600,3114200,19016900
North Carolina,2383600,4682100,1330700,1648100,10044400
North Dakota,176400,347900,96800,109600,730600
Ohio,2662700,5169600,1597400,1926100,11355900
Oklahoma,987400,1745300,484900,598400,3816100
Oregon,898000,1944500,539100,729300,4110800
Pennsylvania,2720200,5621800,1794800,2251300,12388100
Rhode Island,207500,483800,147700,175000,1014000
South Carolina,1151000,2224300,673500,880900,4929800
South Dakota,219200,373800,116700,139000,848700
Tennessee,1557800,3069300,884500,1074700,6586400
Texas,7705100,13607400,3200800,3510700,28024000
Utah,966500,1497600,298400,343200,3105900
Vermont,117000,268700,95700,119200,600600
Virginia,1932900,3866900,1086400,1295800,8182100
Washington,1710100,3559300,955800,1142800,7368000
West Virginia,373600,770700,255300,352700,1752300
Wisconsin,1309600,2580400,817100,955800,5662800
Wyoming,135900,250800,78800,94900,560300
Puerto Rico,635200,1451000,424600,653400,3164400