State,Population,PopRank,Adherents,AdhRank,Adherents %,Adh% Rank
Alabama,4779736,23,3007553,16,62.9,3
Alaska,710231,47,240833,49,33.9,48
Arizona,6392017,16,2379928,23,37.2,43
Arkansas,2915918,32,1614357,32,55.4,13
California,37253956,1,16765751,1,45,31
Colorado,5029196,22,1902282,28,37.8,42
Connecticut,3574097,29,1830862,29,51.2,23
Delaware,897934,45,374917,46,41.8,37
District of Columbia,601723,50,332342,48,55.2,15
Florida,18801310,4,7357588,4,39.1,40
Georgia,9687653,9,4924376,8,50.8,26
Hawaii,1360301,40,561980,41,41.3,38
Idaho,1567582,39,801655,38,51.1,25
Illinois,12830632,5,7094832,5,55.3,14
Indiana,6483802,15,2874144,19,44.3,33
Iowa,3046355,30,1642344,31,53.9,18
Kansas,2853118,33,1444455,33,50.6,27
Kentucky,4339367,26,2237714,25,51.6,22
Louisiana,4533372,25,2746897,20,60.6,4
Maine,1328361,41,367043,47,27.6,51
Maryland,5773552,19,2415376,21,41.8,36
Massachusetts,6547629,14,3748058,12,57.2,8
Michigan,9883640,8,4165343,11,42.1,35
Minnesota,5303925,21,2986450,17,56.3,9
Mississippi,2967297,31,1742916,30,58.7,6
Missouri,5988927,18,2950894,18,49.3,29
Montana,989415,44,376976,45,38.1,41
Nebraska,1826341,38,1016529,36,55.7,10
Nevada,2700551,35,927955,37,34.4,47
New Hampshire,1316470,42,462772,43,35.2,45
New Jersey,8791894,11,4809520,9,54.7,17
New Mexico,2059179,36,1031198,35,50.1,28
New York,19378102,3,9923512,3,51.2,24
North Carolina,9535483,10,4566313,10,47.9,30
North Dakota,672591,48,451456,44,67.1,2
Ohio,11536504,7,5071684,7,44,34
Oklahoma,3751351,28,2226379,26,59.3,5
Oregon,3831074,27,1194793,34,31.2,50
Pennsylvania,12702379,6,6838440,6,53.8,19
Rhode Island,1052567,43,576919,40,54.8,16
South Carolina,4625364,24,2413443,22,52.2,21
South Dakota,814180,46,476832,42,58.6,7
Tennessee,6346105,17,3522345,14,55.5,12
Texas,25145561,2,13994564,2,55.7,11
Utah,2763885,34,2186403,27,79.1,1
Vermont,625741,49,210391,51,33.6,49
Virginia,8001024,12,3586592,13,44.8,32
Washington,6724540,13,2328005,24,34.6,46
West Virginia,1852994,37,658313,39,35.5,44
Wisconsin,5686986,20,3047442,15,53.6,20
Wyoming,563626,51,223074,50,39.6,39